word,frequency
the,104
and,97
a,56
to,52
is,38
you,34
for,32
it,27
with,26
of,26
in,26
your,24
on,20
this,18
sandwich,15
butter,14
at,14
from,14
masala,13
can,13
chicken,12
that,12
tsp,12
are,11
some,11
will,11
have,11
as,10
s,10
flame,10
all,10
now,10
tbsp,9
its,9
their,9
out,9
has,9
who,9
up,9
be,9
or,9
by,9
crisp,8
tag,8
video,8
only,8
chili,7
these,7
get,7
food,7
also,7
what,7
try,7
over,7
cheese,7
powder,6
comment,6
youtube,6
them,6
if,6
here,6
buy,6
my,6
new,6
once,6
add,6
us,6
recipe,6
toast,6
not,6
dip,5
cream,5
salt,5
make,5
ready,5
an,5
place,5
cup,5
green,5
kheer,5
do,5
cheers,5
share,5
our,5
hot,5
milk,5
best,5
tea,5
seeds,5
right,5
tell,5
friends,5
into,5
chocolate,4
looking,4
giveaway,4
see,4
like,4
most,4
soon,4
pinch,4
check,4
how,4
after,4
bread,4
which,4
potato,4
more,4
minutes,4
created,4
menu,4
go,4
cook,4
roundel,4
pan,4
re,4
vada,4
amazing,4
we,4
toaster,4
channel,4
garlic,4
coffee,4
special,4
nut,4
i,4
high,4
crispy,4
use,4
been,4
made,4
super,4
until,4
comes,4
street,4
want,4
excited,3
medium,3
brand,3
favourite,3
little,3
love,3
need,3
beautiful,3
easy,3
medu,3
someone,3
popup,3
delicious,3
recipes,3
would,3
too,3
shack,3
miss,3
hai,3
where,3
serve,3
ever,3
across,3
korean,3
side,3
apply,3
ny,3
about,3
mjöl,3
bake,3
pancake,3
ingredients,3
first,3
give,3
taco,3
choco,3
breakfast,3
black,3
let,3
delhi,3
they,3
project,3
faze,3
well,3
nos,3
chilli,3
red,3
dry,3
small,3
coriander,3
chutney,3
chaat,3
house,3
then,3
time,3
away,3
ka,3
but,3
open,3
fly,3
t,3
restaurant,3
roll,3
outlet,3
location,3
take,3
sweet,3
perfect,3
ice,3
free,3
fries,2
shake,2
fry,2
spicy,2
sichuan,2
sauce,2
topped,2
spoon,2
jing,2
ketchup,2
dinner,2
pe,2
dilsefoodie,2
exciting,2
ki,2
assam,2
guacamole,2
price,2
rs,2
eat,2
karte,2
sunday,2
x,2
below,2
personalities,2
brands,2
one,2
caramel,2
dark,2
summer,2
brioche,2
announced,2
childhood,2
include,2
world,2
bakery,2
artisanal,2
fried,2
promotion,2
bar,2
names,2
items,2
officially,2
shop,2
called,2
vandy,2
tofu,2
burger,2
cereal,2
going,2
than,2
kitchen,2
makes,2
country,2
available,2
different,2
includes,2
stay,2
through,2
velvet,2
cryptocurrency,2
capital,2
yet,2
iconic,2
heart,2
collab,2
definitely,2
things,2
events,2
goto,2
order,2
spots,2
such,2
never,2
variants,2
lipsmacking,2
drinks,2
booberry,2
healthy,2
so,2
bitcoin,2
fans,2
date,2
crypto,2
chipotle,2
digital,2
almond,2
peels,2
partnership,2
butters,2
freshest,2
passion,2
run,2
stunt,2
each,2
included,2
uploaded,2
gets,2
oil,2
bang,2
bit,2
full,2
cumin,2
lower,2
yfl,2
off,2
heat,2
mind,2
thick,2
set,2
style,2
ginger,2
india,2
air,2
fryer,2
was,2
whom,2
cooked,2
using,2
oven,2
spices,2
cold,2
fragrant,2
transfer,2
bowl,2
tibetan,2
griller,2
down,2
mkt,2
store,2
entries,2
asafoetida,2
slice,2
eggless,2
quick,2
pepper,2
part,2
chef,2
rice,2
sambar,2
half,2
popsicles,2
onion,2
mozzarella,2
hour,2
indian,2
pressure,2
cooker,2
tomato,2
fluffy,2
minute,2
switch,2
ke,2
juice,2
bhutte,2
kees,2
flakes,2
lemon,2
maa,2
fresh,2
badal,2
mei,1
waqt,1
internet,1
discontinued,1
beloved,1
rip,1
outrage,1
treat,1
staple,1
incited,1
completely,1
classic,1
sweeter,1
friestration,1
future,1
news,1
game,1
dishes,1
chinese,1
respectful,1
deceased,1
launched,1
promotional,1
japanese,1
accessed,1
gone,1
crazy,1
cuisine,1
authentic,1
extremely,1
score,1
ethereum,1
avalanche,1
makye,1
amay,1
please,1
comments,1
notable,1
second,1
cofounder,1
tweeted,1
ek,1
d,1
tibet,1
rights,1
keep,1
melting,1
pepperoncini,1
generations,1
thoughts,1
discontinuation,1
drop,1
funyuns,1
always,1
guac,1
treats,1
featuring,1
before,1
swirl,1
july,1
pictures,1
nolita,1
mott,1
york,1
pool,1
public,1
teaming,1
ghost,1
mandatory,1
franchise,1
delivery,1
alongside,1
cobranded,1
service,1
tshirt,1
cultapparel,1
challenge,1
bubble,1
won,1
guess,1
weather,1
pink,1
exclusive,1
experience,1
marked,1
dive,1
release,1
teased,1
sneaker,1
collaborative,1
greasing,1
tandem,1
provolone,1
clan,1
does,1
those,1
shot,1
introducing,1
dogecoin,1
dining,1
concept,1
his,1
jazbat,1
contribution,1
rugfather,1
sub,1
smoked,1
turkey,1
gaya,1
nachos,1
partnered,1
celebrity,1
vibrant,1
team,1
onions,1
sugar,1
states,1
mayonnaise,1
subs,1
corn,1
boiled,1
dozen,1
cups,1
inspired,1
streamer,1
lingo,1
gaming,1
terminology,1
solana,1
including,1
enable,1
munch,1
september,1
wants,1
bite,1
uk,1
musk,1
epic,1
wonder,1
grocery,1
gobble,1
hand,1
yes,1
big,1
brazilianagency,1
africa,1
options,1
friez,1
bezos,1
gates,1
ukbased,1
bun,1
shredded,1
lettuce,1
spring,1
mayo,1
held,1
between,1
toasted,1
calls,1
snack,1
additional,1
season,1
zuck,1
bites,1
suck,1
ma,1
jack,1
flavor,1
actually,1
pickled,1
arts,1
expressed,1
selling,1
truck,1
collective,1
frustration,1
unsatisfying,1
amount,1
brooklyn,1
without,1
any,1
condiments,1
fit,1
onto,1
single,1
could,1
suffer,1
condiment,1
outpost,1
la,1
finding,1
develop,1
marketing,1
product,1
innovation,1
response,1
global,1
study,1
inflated,1
refuse,1
fryeaters,1
intentionally,1
sold,1
rich,1
billionaires,1
richest,1
themed,1
cucumber,1
yumm,1
customers,1
raincoats,1
grilled,1
trendy,1
currencies,1
think,1
bad,1
umbrellas,1
cypto,1
cute,1
enabling,1
dresses,1
tshirts,1
good,1
shoes,1
slippers,1
rubber,1
shopping,1
guests,1
tastes,1
worldrenowned,1
buying,1
real,1
loads,1
slices,1
literally,1
during,1
winter,1
many,1
others,1
flexa,1
accepts,1
oregano,1
crushed,1
currency,1
lover,1
nationwide,1
better,1
back,1
artist,1
glazed,1
count,1
chopsticks,1
nostalgic,1
know,1
doesn,1
characters,1
frankenberry,1
siracha,1
minced,1
general,1
chocula,1
frute,1
brute,1
teamed,1
melted,1
united,1
kingdom,1
mills,1
based,1
along,1
majnu,1
cafes,1
done,1
collabs,1
hell,1
tila,1
likes,1
recently,1
addicted,1
should,1
waasi,1
noida,1
features,1
collection,1
kawscrafted,1
monster,1
designs,1
yourself,1
biryani,1
trip,1
property,1
golden,1
brown,1
finish,1
nylon,1
sev,1
bombay,1
waiting,1
there,1
end,1
weekend,1
partner,1
drive,1
unbelievable,1
meals,1
lunch,1
evening,1
reference,1
loved,1
family,1
required,1
capsicum,1
beetroot,1
sized,1
c,1
mumbai,1
nicely,1
mustard,1
chillies,1
chopped,1
peas,1
potatoes,1
taste,1
assembly,1
paste,1
turmeric,1
garam,1
smal,1
handful,1
mash,1
everything,1
masher,1
gettogether,1
pure,1
am,1
veg,1
mausam,1
demand,1
paish,1
garg,1
tikki,1
chandigarh,1
sizzler,1
had,1
endless,1
mr,1
mrs,1
dua,1
shooting,1
romantic,1
sabzi,1
salad,1
roti,1
yaha,1
subha,1
meri,1
hu,1
raha,1
tikka,1
booking,1
call,1
baby,1
roasted,1
arabian,1
delites,1
defence,1
colony,1
junction,1
kha,1
giving,1
checkout,1
official,1
enjoy,1
days,1
coming,1
kuch,1
khaana,1
viewers,1
doing,1
hype,1
blow,1
fine,1
airtight,1
container,1
upto,1
couple,1
months,1
dish,1
pani,1
puri,1
no,1
cheating,1
dessert,1
haath,1
kii,1
fulfill,1
desire,1
soaked,1
further,1
litre,1
grind,1
mango,1
jar,1
home,1
reminder,1
yummy,1
binge,1
watch,1
forget,1
ussal,1
sanjyot,1
keer,1
bpack,1
grinder,1
peppercorns,1
carom,1
cinnamon,1
inch,1
cloves,1
roast,1
cool,1
mixer,1
whistle,1
low,1
thank,1
depressurize,1
baarish,1
aur,1
bhutta,1
delectable,1
indore,1
contest,1
following,1
steps,1
mentioned,1
lucky,1
winners,1
hamilton,1
beach,1
till,1
pm,1
ist,1
participate,1
winner,1
announcement,1
toppings,1
pancakes,1
day,1
intervals,1
naturally,1
lid,1
become,1
darkened,1
again,1
while,1
stirring,1
regular,1
cooking,1
hope,1
thicken,1
darken,1
condensed,1
ml,1
almonds,1
slivered,1
mix,1
either,1
tak,1
milta,1
sabhi,1
deliver,1
deliveryonly,1
located,1
gurugram,1
homegrown,1
ve,1
got,1
covered,1
offering,1
ohsosoothing,1
blends,1
body,1
soul,1
favourites,1
taken,1
beantocup,1
beantobar,1
approach,1
savorworks,1
people,1
salted,1
fudge,1
hazelnut,1
raspberry,1
nostalgia,1
community,1
art,1
slow,1
life,1
top,1
picks,1
peach,1
danish,1
tart,1
plum,1
jam,1
vanilla,1
bean,1
mushroom,1
puff,1
ricotta,1
savoury,1
dedicated,1
highest,1
auto,1
quality,1
bound,1
tummy,1
chhattarpur,1
zomato,1
tucked,1
sidestreet,1
bedford,1
dubbed,1
westchester,1
might,1
incredibly,1
sandwiches,1
farmfresh,1
eggs,1
gooey,1
bacon,1
served,1
don,1
believe,1
croissant,1
caprese,1
sourdough,1
coffees,1
cacao,1
specialty,1
roastery,1
roasts,1
batches,1
premium,1
transparency,1
consumers,1
chocolates,1
avocado,1
being,1
front,1
signature,1
mocha,1
sunset,1
pair,1
delish,1
feta,1
celebration,1
said,1
simplicity,1
sophistication,1
when,1
spending,1
relate,1
spreads,1
making,1
women,1
hold,1
create,1
simple,1
possible,1
way,1
come,1
several,1
smooth,1
peanut,1
coconut,1
much,1
nutty,1
toasts,1
knows,1
places,1
kachori,1
round,1
wale,1
yahi,1
exact,1
scrumptious,1
fail,1
hungry,1
happy,1
type,1
hottest,1
kachoris,1
festivals,1
happening,1
upcoming,1
weeks,1
swipe,1
read,1
bookmark,1
lies,1
orders,1
website,1
gulati,1
commonly,1
originating,1
old,1
norse,1
language,1
embodies,1
wholesomeness,1
versatility,1
nourishing,1
used,1
common,1
cuisines,1
around,1
forte,1
meticulously,1
handcrafted,1
bakes,1
smallbatches,1
seasonal,1
wholesome,1
hotspots,1
pandara,1
disclosed,1
road,1
opening,1
gurgaon,1
dt,1
mega,1
mall,1
sector,1
launch,1
expect,1
ending,1
save,1
travel,1
craving,1
weekly,1
tuned,1
information,1
popcorn,1
list,1
fun,1
